Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K162,(aaa)星巴克,487.85%,402.85%,447.85%,43.75%,-43.75%,600.00%,600.00%,1924.70%,2765.00%,2216.70%,196.50%,-216.00%,700.00%,900.00%,2036.00%,1632.00%,1428.35%,191.50%,-196.50%,900.00%,700.00%,2453.35%,1959.00%,1657.00%,191.50%,-170.50%,700.00%,700.00%,1878.00%,1296.50%,1749.00%,180.50%,-160.50%,700.00%,700.00%,23.00%
K162,(aaa)军哥哦,462.85%,377.85%,422.85%,43.75%,-43.75%,600.00%,601.00%,2067.70%,2666.00%,2117.70%,138.50%,-188.25%,373.00%,700.00%,2241.00%,1466.00%,1270.35%,159.00%,-160.50%,700.00%,382.00%,2459.35%,1498.00%,1186.00%,159.00%,-144.75%,700.00%,700.00%,1793.00%,1157.50%,1621.00%,152.75%,-136.50%,545.00%,270.00%,25.50%
K162,(aaa)NARUTO,492.85%,372.85%,412.85%,43.75%,-43.75%,601.00%,600.00%,1850.70%,2795.00%,2060.70%,186.50%,-202.50%,700.00%,700.00%,2116.00%,1556.00%,1258.35%,201.50%,-166.75%,700.00%,700.00%,2689.35%,2063.00%,1653.00%,197.75%,-168.75%,700.00%,700.00%,1974.00%,1160.50%,1615.00%,191.50%,-160.50%,700.00%,700.00%,24.00%
K162,(aaa)成天饮大佐,358.85%,295.85%,342.85%,43.75%,-41.50%,536.72%,336.18%,1483.70%,1624.57%,1976.12%,168.75%,-176.25%,311.00%,631.00%,2055.00%,1531.35%,1115.35%,186.75%,-170.50%,677.00%,447.00%,2514.05%,1995.70%,797.00%,185.00%,-144.75%,453.00%,352.00%,1520.50%,661.50%,1290.50%,159.50%,-136.50%,259.00%,180.00%,24.00%
K162,(aaa)Singa,322.60%,266.60%,296.60%,41.50%,-41.50%,293.96%,274.96%,861.70%,1158.42%,1733.12%,136.75%,-151.50%,169.00%,302.00%,1157.20%,773.05%,940.35%,57.25%,-55.25%,127.00%,94.00%,2514.05%,1870.70%,1184.35%,157.00%,-134.75%,430.00%,207.00%,946.00%,455.50%,1037.00%,54.50%,-25.00%,94.00%,73.00%,22.50%
K162,(aaa)perroSánchez,290.60%,252.10%,271.10%,41.50%,-41.50%,252.92%,205.16%,929.70%,1136.57%,1562.12%,130.50%,-148.00%,123.00%,282.00%,1528.00%,1177.35%,807.35%,59.25%,-47.25%,316.00%,176.00%,2014.05%,1614.70%,807.00%,144.75%,-128.75%,233.00%,149.00%,1183.50%,432.50%,877.50%,52.50%,-27.00%,87.00%,67.00%,20.00%
K162,(aaa)库迪咖啡,383.60%,267.60%,303.60%,41.50%,-41.50%,492.48%,522.48%,1082.70%,1967.62%,1613.07%,142.50%,-162.75%,78.00%,509.00%,2280.35%,1392.00%,720.00%,154.50%,-144.75%,700.00%,411.00%,1920.70%,1316.00%,1113.05%,154.50%,-134.75%,346.00%,159.00%,1002.35%,781.00%,786.50%,138.50%,-128.50%,89.00%,64.00%,24.00%
K162,(aaa)我是TRU们的爹呀,272.10%,224.60%,244.10%,38.50%,-40.00%,360.40%,281.00%,751.70%,1130.57%,1497.12%,124.50%,-134.00%,162.00%,186.00%,1670.00%,1146.35%,706.35%,54.50%,-43.00%,275.00%,173.00%,1965.05%,1651.70%,848.00%,134.00%,-118.50%,151.00%,125.00%,1006.00%,306.50%,756.00%,38.50%,-25.00%,72.00%,62.00%,22.00%
K162,(aaa)极品辣椒,319.60%,260.10%,293.60%,41.50%,-40.00%,592.00%,128.52%,790.20%,1178.42%,1671.12%,136.50%,-155.50%,66.00%,268.00%,1342.20%,928.55%,1013.85%,154.25%,-144.75%,453.00%,203.00%,2323.55%,1830.70%,1114.35%,150.75%,-128.75%,298.00%,125.00%,1036.00%,368.50%,952.00%,51.00%,-25.00%,67.00%,59.00%,22.00%
K162,(aaa)GoKu,309.10%,265.10%,300.60%,41.50%,-41.50%,351.68%,339.00%,808.20%,1162.42%,1763.12%,144.75%,-154.50%,79.00%,323.00%,1129.70%,841.05%,951.35%,60.50%,-57.25%,407.00%,200.00%,2378.05%,1834.70%,1161.35%,152.75%,-134.75%,304.00%,131.00%,967.00%,455.50%,1047.00%,47.50%,-41.00%,94.00%,77.00%,22.00%
