Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K212,(FOV)ⒷⒶⓇⓇⒺⓉⓉ,362.85%,327.85%,350.85%,43.75%,-43.75%,600.00%,422.44%,1774.70%,1999.50%,1578.70%,142.75%,-159.00%,286.00%,700.00%,2137.00%,1372.50%,1167.35%,161.00%,-144.75%,636.00%,386.00%,2249.35%,1374.00%,1050.00%,161.00%,-142.75%,626.00%,363.00%,1610.00%,766.50%,1127.00%,152.75%,-136.50%,504.00%,262.00%,24.00%
K212,(FOV)栖风阁,560.21%,494.10%,529.10%,47.50%,-47.50%,600.00%,600.00%,2508.70%,3050.50%,2820.12%,186.50%,-236.50%,900.00%,900.00%,2811.50%,1767.00%,1257.35%,214.50%,-194.50%,900.00%,900.00%,2663.35%,1822.00%,1508.00%,214.50%,-196.50%,900.00%,900.00%,1516.00%,1841.20%,1519.70%,194.50%,-194.50%,900.00%,900.00%,24.00%
K212,(FOV)《LEGEND》,369.35%,311.85%,333.85%,43.75%,-43.75%,575.52%,575.52%,1542.00%,1918.92%,1153.07%,196.50%,-187.75%,264.00%,700.00%,2303.00%,1743.50%,1015.50%,195.50%,-144.75%,603.00%,382.00%,2368.70%,1822.00%,1628.70%,195.50%,-170.50%,700.00%,421.00%,1793.35%,931.50%,1232.00%,176.75%,-160.50%,290.00%,136.00%,22.00%
K212,(FOV)老虎油,359.35%,275.60%,296.60%,43.75%,-41.50%,232.48%,211.12%,1265.00%,1682.92%,905.07%,142.50%,-143.50%,257.00%,630.00%,2323.20%,1768.70%,1004.00%,159.00%,-128.75%,630.00%,478.00%,1649.00%,1249.00%,1251.35%,143.75%,-122.50%,213.00%,126.00%,1182.00%,595.00%,832.00%,90.00%,-59.50%,105.00%,76.00%,20.00%
K212,(FOV)任氏家族,305.85%,247.35%,258.35%,41.50%,-41.50%,395.76%,246.64%,1491.00%,2049.92%,1411.07%,128.50%,-142.50%,91.00%,313.00%,2359.20%,1510.70%,1262.00%,148.50%,-123.75%,354.00%,203.00%,1419.00%,1131.00%,1010.35%,143.00%,-128.50%,216.00%,124.00%,1253.00%,847.00%,926.50%,101.50%,-75.50%,85.00%,67.00%,21.00%
K212,(FOV)꧁༺平安喜乐༻꧂,319.35%,275.10%,299.10%,43.75%,-41.50%,420.32%,353.88%,1218.00%,1967.50%,1460.49%,140.50%,-151.00%,91.00%,417.00%,1768.50%,1398.35%,920.00%,165.00%,-136.75%,502.00%,226.00%,2157.70%,1827.20%,1335.50%,158.75%,-134.75%,322.00%,137.00%,1141.50%,707.50%,894.50%,58.00%,-47.50%,104.00%,73.00%,21.50%
K212,(FOV)♻B/NOMERCY,272.71%,209.10%,210.10%,39.00%,-39.00%,248.16%,169.16%,604.70%,1284.12%,1041.92%,37.50%,-40.50%,73.00%,150.00%,2128.05%,1408.00%,986.70%,138.00%,-128.50%,308.00%,172.00%,849.00%,832.00%,437.35%,34.50%,-33.00%,94.00%,47.00%,905.05%,492.20%,238.00%,36.50%,-23.00%,39.00%,34.00%,20.00%
K212,(FOV)雷神Ted,322.85%,271.35%,307.35%,43.75%,-43.75%,600.00%,211.60%,1541.00%,2025.50%,1454.49%,134.75%,-153.25%,129.00%,425.00%,1911.50%,1419.35%,982.00%,155.25%,-136.75%,542.00%,262.00%,2264.70%,1522.70%,941.50%,153.25%,-144.75%,504.00%,261.00%,1464.00%,839.50%,1172.00%,139.00%,-136.50%,212.00%,127.00%,24.00%
K212,(FOV)江湖故人,323.60%,282.60%,304.60%,41.50%,-41.50%,443.12%,393.44%,856.70%,1040.92%,1549.12%,136.50%,-139.50%,113.00%,308.00%,1238.20%,942.05%,1040.35%,148.25%,-122.50%,301.00%,157.00%,2635.05%,1938.70%,1189.35%,164.50%,-138.75%,630.00%,377.00%,1212.00%,477.50%,1095.00%,132.30%,-106.30%,85.00%,60.00%,22.50%
K212,(FOV)万金·じ·,412.85%,382.85%,407.85%,43.75%,-43.75%,600.00%,600.00%,991.70%,1553.49%,1621.70%,144.75%,-184.50%,293.00%,700.00%,2316.50%,1703.00%,1184.35%,156.50%,-160.50%,700.00%,419.00%,2479.05%,1816.00%,1424.70%,159.00%,-144.75%,700.00%,659.00%,1818.35%,774.50%,1488.00%,152.75%,-136.50%,664.00%,357.00%,22.50%
