Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K212,K212 (CHN)阿土小弟,565.21%,494.10%,519.10%,47.50%,-47.50%,600.00%,601.00%,2076.20%,3011.00%,2782.12%,186.50%,-236.50%,900.00%,900.00%,2350.00%,1757.00%,1244.85%,204.50%,-184.50%,900.00%,900.00%,2754.35%,2361.50%,2049.50%,224.50%,-196.50%,900.00%,900.00%,1546.50%,1770.70%,1463.70%,194.50%,-184.50%,900.00%,900.00%,23.00%
K212,K212 (CHN)云上阳光Barely,410.85%,362.35%,395.85%,43.75%,-43.75%,600.00%,462.04%,1445.20%,1527.57%,1882.12%,148.50%,-201.25%,300.00%,700.00%,2085.00%,1518.35%,1288.85%,169.50%,-158.50%,636.00%,489.00%,2669.05%,1795.20%,900.50%,175.75%,-170.50%,700.00%,395.00%,2146.50%,884.00%,1503.00%,176.75%,-160.50%,302.00%,189.00%,23.50%
K212,K212 (CHN)Barely云上玫瑰,378.85%,320.85%,365.85%,43.75%,-43.75%,602.00%,516.48%,922.20%,1244.57%,1525.12%,142.75%,-163.00%,300.00%,636.00%,2127.00%,1444.35%,1505.85%,159.00%,-145.75%,632.00%,344.00%,2596.05%,1933.20%,1079.50%,162.00%,-145.75%,463.00%,263.00%,1520.50%,696.00%,1357.00%,144.00%,-136.50%,273.00%,110.00%,24.00%
K212,K212 (CHN)微雪寒梅,343.85%,273.00%,295.60%,41.50%,-41.50%,600.00%,348.92%,890.20%,1052.57%,1335.12%,144.75%,-146.75%,151.00%,588.00%,2076.00%,1745.35%,1440.85%,154.50%,-126.75%,608.00%,286.00%,2350.05%,1493.20%,968.50%,154.50%,-126.75%,424.00%,257.00%,1464.50%,559.00%,1137.00%,146.00%,-128.50%,126.00%,71.10%,24.00%
K212,K212 (CHN)万事皆休,331.60%,250.10%,280.10%,41.50%,-41.50%,600.00%,135.68%,847.20%,1313.62%,948.07%,136.75%,-133.75%,125.00%,476.00%,2541.05%,1854.70%,1215.50%,141.00%,-123.75%,654.00%,372.00%,1850.00%,1228.50%,1227.20%,134.75%,-133.75%,312.00%,163.00%,1572.50%,385.00%,824.50%,48.50%,-41.10%,320.00%,57.00%,22.00%
K212,K212 (CHN)HandofGod,289.60%,271.50%,295.50%,41.50%,-41.50%,282.36%,262.50%,1569.20%,1735.00%,1488.70%,138.50%,-147.75%,177.00%,314.00%,1926.00%,1454.00%,1245.35%,140.25%,-136.75%,320.00%,221.00%,1907.85%,1231.50%,903.50%,141.25%,-128.75%,245.00%,201.00%,1370.00%,700.50%,877.00%,47.50%,-35.00%,123.00%,101.00%,22.00%
K212,K212 (CHN)Barely云上天使,384.35%,305.85%,319.35%,43.75%,-43.75%,332.92%,465.92%,1139.20%,1548.57%,1777.12%,144.75%,-163.75%,273.00%,700.00%,1637.00%,1302.35%,1022.85%,158.75%,-150.50%,301.00%,215.00%,2379.05%,1590.20%,710.50%,159.00%,-142.75%,700.00%,425.00%,1641.50%,719.00%,1345.00%,152.75%,-136.50%,349.00%,131.00%,24.00%
K212,K212 (CHN)Kaneki,217.60%,196.60%,224.60%,37.50%,-37.50%,53.12%,152.96%,1164.00%,1488.57%,1157.00%,110.50%,-126.50%,35.00%,110.00%,1613.50%,1078.00%,630.00%,29.65%,-26.50%,237.00%,69.00%,1165.00%,838.50%,558.00%,24.65%,-26.50%,62.00%,48.00%,952.00%,495.00%,535.50%,18.50%,-2.00%,27.00%,20.00%,18.00%
K212,K212 (CHN)NEGAR,348.71%,262.10%,304.10%,41.50%,-41.50%,412.72%,263.48%,949.20%,1653.62%,1447.49%,144.75%,-154.50%,188.00%,315.00%,2491.05%,1679.00%,1293.20%,150.50%,-148.75%,419.00%,327.00%,1113.00%,1110.00%,630.35%,95.25%,-81.75%,711.00%,213.00%,1630.05%,650.20%,1112.50%,55.10%,-45.10%,128.00%,118.00%,22.00%
K212,K212 (CHN)코스피,315.21%,248.60%,270.10%,41.50%,-41.50%,278.76%,180.92%,1491.20%,1581.42%,1448.70%,129.50%,-150.75%,621.04%,219.00%,2095.00%,1551.00%,693.85%,145.75%,-136.75%,350.00%,126.00%,1555.35%,1263.50%,1013.50%,130.75%,-124.75%,172.00%,109.00%,1068.20%,920.20%,369.50%,65.20%,-61.20%,75.00%,69.00%,22.00%
K212,K212 (CHN)骑玉,362.85%,330.35%,350.85%,43.75%,-43.75%,600.00%,600.00%,1192.20%,1263.99%,1503.70%,196.50%,-186.75%,383.00%,700.00%,2368.00%,1844.50%,1332.35%,197.75%,-170.50%,700.00%,408.00%,2507.05%,1847.50%,1498.20%,191.50%,-168.50%,677.00%,401.00%,1787.85%,963.00%,1485.00%,165.75%,-158.50%,340.00%,151.00%,22.50%
K212,K212 (CHN)ALIREZA212,315.60%,259.10%,275.10%,41.50%,-41.50%,398.52%,200.00%,1538.20%,1378.00%,1511.70%,146.75%,-145.00%,154.00%,300.00%,1532.00%,1085.00%,964.85%,139.75%,-138.50%,70.00%,60.00%,2158.35%,1462.50%,1231.50%,150.00%,-128.75%,424.00%,200.00%,1499.00%,817.00%,1121.50%,69.70%,,,,
K212,K212 (CHN)熊孩子,464.10%,357.60%,413.10%,47.50%,-43.75%,480.44%,600.00%,1475.70%,2164.49%,1867.70%,144.75%,-195.00%,220.00%,700.00%,1580.00%,1324.00%,1267.85%,185.00%,-160.50%,205.00%,408.00%,3048.05%,1848.50%,900.20%,188.75%,-168.75%,700.00%,518.00%,1901.35%,860.50%,1533.50%,182.50%,-160.50%,504.00%,275.00%,23.00%
K212,K212 (CHN)焚梦毁灭,332.65%,295.10%,322.10%,41.50%,-41.50%,600.00%,152.44%,1003.20%,1080.42%,1703.12%,144.75%,-151.50%,92.00%,408.00%,1094.70%,722.05%,927.85%,140.25%,-142.75%,225.00%,69.00%,2549.05%,1834.20%,1114.85%,156.50%,-139.75%,463.00%,359.00%,1251.50%,629.00%,1258.00%,148.25%,-112.50%,440.00%,97.00%,24.00%
K212,K212 (CHN)蝶琴栖月,368.96%,230.60%,268.60%,40.00%,-38.50%,400.24%,284.10%,908.20%,1571.00%,908.07%,136.75%,-140.00%,82.00%,330.00%,2442.05%,1151.70%,828.50%,151.00%,-124.50%,610.00%,212.00%,1519.00%,1347.50%,1029.20%,144.75%,-119.50%,211.00%,210.00%,1552.00%,575.70%,700.00%,58.50%,-35.00%,114.00%,57.04%,21.00%
K212,K212 (CHN)福尔摩斯·程,319.10%,282.60%,323.10%,43.75%,-41.50%,389.16%,257.24%,644.70%,1383.07%,1633.62%,43.00%,-78.50%,71.00%,408.00%,1383.00%,1068.35%,756.55%,142.50%,-134.50%,164.00%,200.00%,2570.55%,1880.20%,902.50%,165.50%,-134.75%,472.00%,388.00%,1251.50%,361.00%,864.00%,58.50%,-41.00%,80.00%,61.00%,25.00%
K212,K212 (CHN)芷攵,379.35%,350.85%,379.85%,43.75%,-47.50%,321.92%,600.00%,1405.20%,1778.57%,2055.12%,196.50%,-203.50%,360.00%,900.00%,2446.00%,1720.35%,1468.85%,197.75%,-194.50%,900.00%,420.00%,2537.05%,1765.20%,1093.50%,191.50%,-172.50%,552.00%,345.00%,1683.50%,959.00%,1634.00%,165.75%,-166.75%,343.00%,215.00%,23.00%
K212,K212 (CHN)橘哥滴小蜜腰,267.50%,211.10%,252.60%,39.00%,-39.00%,213.16%,147.00%,1221.20%,1478.50%,1101.20%,113.50%,-138.75%,51.00%,288.00%,1774.50%,1293.00%,1005.35%,130.75%,-124.50%,436.00%,182.00%,1600.35%,1095.00%,950.50%,80.75%,-89.50%,17.00%,47.00%,1248.50%,547.50%,748.50%,49.20%,-41.20%,97.00%,51.00%,20.00%
K212,K212 (CHN)你不要这样,376.35%,277.85%,331.35%,43.75%,-43.75%,600.00%,415.04%,887.20%,1203.57%,1295.12%,142.75%,-159.00%,68.00%,475.00%,2230.00%,1693.35%,1162.35%,175.50%,-140.75%,472.00%,199.00%,2456.55%,1957.20%,798.50%,174.00%,-146.75%,845.00%,267.00%,1622.50%,930.00%,1070.00%,170.50%,-136.50%,208.00%,23.00%,21.00%
K212,K212 (CHN)錧～文,377.85%,280.10%,319.20%,43.75%,-41.50%,550.00%,519.92%,726.70%,1267.57%,1430.12%,138.50%,-160.75%,183.00%,487.00%,2349.00%,1440.35%,1326.85%,173.50%,-138.50%,575.00%,339.00%,2381.05%,1874.20%,1116.50%,154.75%,-124.75%,580.00%,343.00%,1598.00%,614.00%,1263.50%,152.75%,-138.50%,287.00%,102.00%,22.00%
K212,K212 (CHN)Nafis,267.71%,230.10%,227.10%,37.50%,-37.50%,165.52%,91.96%,1501.20%,2019.05%,1168.50%,126.50%,-131.90%,60.00%,150.00%,1881.10%,1174.00%,580.50%,134.00%,-121.75%,208.00%,122.00%,1211.25%,1026.50%,1028.85%,120.65%,-116.00%,109.00%,60.00%,822.45%,914.70%,247.50%,27.15%,-11.00%,33.00%,27.00%,12.50%
K212,K212 (CHN)杰森·阿道夫,343.10%,279.10%,223.10%,41.50%,-41.50%,326.36%,330.68%,1116.20%,1322.57%,1591.12%,142.75%,-158.50%,185.00%,560.00%,1565.00%,1303.35%,972.85%,142.25%,-142.75%,416.00%,188.00%,2484.05%,1762.20%,617.50%,156.50%,-134.75%,700.00%,488.00%,1499.50%,808.00%,1197.00%,142.00%,-126.50%,236.00%,117.00%,20.00%
K212,K212 (CHN)霸王茶姬,334.65%,286.60%,320.20%,41.50%,-41.50%,582.13%,334.60%,848.20%,1270.57%,1604.12%,144.75%,-153.00%,60.00%,507.00%,1574.00%,1304.85%,1113.35%,152.75%,-134.75%,273.00%,142.00%,2517.05%,1780.20%,945.50%,159.00%,-135.75%,609.00%,381.00%,1499.50%,578.50%,1193.50%,149.25%,-131.50%,60.00%,20.00%,22.00%
K212,K212 (CHN)Soheil,262.71%,226.10%,249.10%,37.50%,-37.50%,180.92%,90.84%,1425.70%,2053.05%,1157.50%,136.50%,-129.90%,67.00%,118.00%,1921.10%,1418.00%,811.50%,136.00%,-124.25%,274.00%,148.00%,960.25%,885.00%,887.35%,46.75%,-30.10%,35.00%,34.00%,815.45%,913.70%,251.50%,35.65%,-11.00%,37.00%,32.00%,12.50%



