Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K292,(AOT)Mr•Appleo•°,359.35%,306.35%,273.85%,43.75%,-43.75%,427.48%,260.12%,884.20%,1825.62%,1289.07%,142.75%,-145.25%,164.00%,225.00%,2739.55%,2108.70%,1438.00%,184.00%,-136.75%,635.00%,479.00%,1715.50%,1329.00%,941.70%,168.00%,-136.50%,304.00%,279.00%,1532.50%,529.00%,1124.50%,152.00%,-136.50%,178.00%,153.00%,24.00%
K292,(404)Z=+F,464.10%,422.85%,427.85%,43.75%,-43.75%,600.00%,600.00%,2490.20%,2472.50%,2197.70%,194.50%,-201.50%,900.00%,900.00%,2030.50%,1621.50%,1522.85%,191.50%,-197.50%,900.00%,700.00%,2686.85%,2152.50%,1433.50%,204.50%,-173.50%,900.00%,900.00%,1877.50%,1399.00%,1694.00%,191.50%,-170.50%,700.00%,700.00%,21.50%
K292,(404)<Ωmega>,335.10%,305.10%,319.10%,43.75%,-41.50%,251.00%,184.00%,852.70%,1136.07%,1511.12%,138.50%,-162.75%,208.00%,532.00%,1825.50%,1280.85%,1229.85%,146.00%,-136.50%,313.00%,146.00%,2364.55%,1848.20%,998.50%,160.75%,-143.00%,532.00%,353.00%,1460.00%,641.00%,1136.50%,144.75%,-128.50%,202.00%,127.00%,21.00%
K292,(404)unstoppable,324.60%,275.10%,302.60%,41.50%,-41.50%,377.64%,325.56%,1064.00%,1614.92%,1401.49%,142.75%,-155.00%,75.00%,416.00%,1163.20%,783.55%,757.00%,148.25%,-134.75%,236.00%,112.00%,2214.70%,1734.20%,1323.85%,158.50%,-134.75%,452.00%,320.00%,1006.50%,693.00%,917.00%,138.50%,-128.50%,92.00%,61.00%,20.50%
K292,(404)BlackRed,327.71%,241.10%,267.10%,37.50%,-40.00%,267.52%,119.26%,1403.50%,2078.92%,1455.49%,140.75%,-150.00%,59.00%,266.00%,2230.45%,1256.00%,1090.70%,149.50%,-126.75%,287.00%,148.00%,917.25%,938.50%,694.50%,69.15%,-67.50%,86.00%,64.00%,954.80%,913.20%,315.50%,31.55%,-23.40%,83.00%,60.00%,16.00%
K292,(404)ACE_340,299.10%,228.60%,272.60%,41.50%,-41.50%,200.64%,200.24%,754.70%,1427.70%,1368.42%,142.75%,-157.50%,72.00%,501.00%,2381.55%,1465.50%,1278.20%,169.00%,-140.50%,500.00%,278.00%,1447.00%,924.50%,515.35%,146.25%,-120.50%,269.00%,104.00%,1242.85%,315.00%,781.00%,54.50%,-23.00%,90.00%,64.00%,20.00%
K292,(404)unknown,355.71%,257.60%,290.10%,43.75%,-41.50%,411.56%,351.52%,977.20%,1641.12%,1466.42%,144.75%,-154.50%,67.00%,401.00%,2300.55%,1513.50%,1096.20%,160.50%,-144.75%,413.00%,248.00%,1169.00%,1185.00%,718.85%,142.25%,-134.75%,205.00%,78.00%,1087.55%,760.70%,532.00%,75.50%,-79.50%,89.00%,60.00%,22.50%
K292,(404)ALTRIAPENDRAGON,484.10%,434.10%,399.10%,47.50%,-47.50%,602.00%,600.00%,2026.20%,2800.13%,1892.07%,160.50%,-205.00%,524.00%,900.00%,2829.85%,1819.50%,1390.50%,212.25%,-149.50%,900.00%,648.00%,2224.50%,1664.50%,1532.85%,188.50%,-197.50%,687.00%,456.00%,1724.50%,1338.00%,1407.00%,172.50%,-184.50%,313.00%,236.00%,21.00%
K292,(404)Vengeance_340,300.60%,264.10%,307.60%,40.00%,-41.50%,300.44%,85.46%,733.70%,787.50%,1336.62%,59.25%,-62.00%,141.00%,336.00%,961.25%,661.35%,730.85%,41.75%,-53.25%,85.00%,60.00%,2294.80%,1774.20%,833.50%,150.90%,-139.00%,390.00%,303.00%,747.75%,361.00%,900.00%,40.65%,-23.00%,83.00%,40.00%,16.00%
K292,(404)BlackStar_340,268.10%,236.10%,268.60%,41.50%,-41.50%,340.40%,126.96%,674.20%,1521.20%,1349.42%,55.95%,-68.20%,62.00%,281.00%,2389.05%,1536.50%,1345.20%,160.75%,-134.75%,386.00%,179.00%,1178.25%,894.50%,514.85%,60.75%,-39.00%,156.00%,59.00%,1140.10%,366.00%,725.00%,40.35%,-39.00%,73.00%,61.00%,20.00%
