Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K294,(KIL)-Ðêàth-,328.34%,278.84%,344.34%,31.25%,-43.75%,126.00%,600.00%,1802.70%,2461.63%,1545.57%,128.75%,-194.25%,215.00%,644.00%,1907.35%,1338.00%,885.00%,107.00%,-128.50%,236.00%,78.00%,2003.00%,1365.50%,1069.35%,132.25%,-139.25%,319.00%,215.00%,1441.00%,911.50%,1311.50%,135.50%,-160.50%,146.00%,68.50%,22.00%
K294,(KIL)AS7,260.20%,142.99%,177.99%,40.00%,-40.00%,250.24%,1.00%,709.20%,1180.55%,939.42%,53.25%,-49.40%,56.00%,111.00%,2035.05%,1248.00%,916.70%,151.75%,-135.25%,211.00%,110.00%,826.25%,731.00%,305.35%,80.50%,-57.00%,30.00%,25.00%,870.80%,471.20%,224.50%,31.85%,-9.00%,24.00%,13.50%,16.00%
K294,(KIL)PATRIOT,285.70%,204.59%,237.59%,39.00%,-39.00%,80.16%,89.76%,915.70%,1369.12%,1114.92%,122.50%,-134.50%,75.00%,150.00%,2053.05%,1336.00%,797.20%,138.00%,-127.25%,204.00%,129.00%,764.50%,743.00%,354.85%,26.50%,-25.00%,33.00%,29.00%,911.05%,426.20%,228.50%,28.50%,-21.00%,31.00%,27.00%,20.00%
K294,(KIL)Saudade,421.15%,316.90%,369.90%,47.50%,-43.75%,584.00%,109.00%,1179.20%,1471.62%,976.57%,107.00%,-103.00%,467.00%,500.00%,3035.05%,2070.70%,1296.50%,226.50%,-172.50%,900.00%,606.00%,1646.50%,1262.50%,805.70%,184.50%,-166.75%,289.00%,179.00%,2320.50%,1002.00%,1244.50%,206.50%,-166.75%,331.00%,162.00%,21.00%
K294,(KIL)Bozkurt,328.84%,281.84%,324.34%,43.75%,-43.75%,413.24%,281.08%,1158.70%,1570.70%,1502.49%,142.75%,-161.00%,211.00%,504.00%,2342.05%,1350.00%,1225.20%,157.00%,-142.75%,319.00%,236.00%,1818.50%,1297.50%,819.35%,161.00%,-144.75%,401.00%,257.00%,1461.35%,631.50%,1132.50%,147.25%,-140.75%,190.00%,153.00%,21.00%
K294,(KIL)ThebigA,265.09%,238.59%,290.59%,41.50%,-40.00%,356.28%,19.04%,712.20%,860.57%,1242.55%,59.25%,-64.00%,153.00%,302.00%,1628.00%,962.00%,1072.20%,142.00%,-138.50%,123.00%,66.00%,2285.05%,1597.70%,782.00%,162.75%,-137.00%,319.00%,120.00%,1307.00%,358.50%,889.50%,134.50%,-112.50%,152.00%,72.00%,20.00%
K294,(KIL)KnightAmin,256.20%,201.59%,245.09%,40.00%,-40.00%,141.68%,64.50%,925.20%,1351.55%,1113.42%,134.75%,-134.00%,83.00%,178.00%,2064.30%,1165.00%,1002.70%,137.50%,-132.50%,229.00%,148.00%,826.25%,762.00%,385.35%,38.65%,-32.50%,76.00%,45.00%,898.80%,486.70%,254.00%,27.15%,-25.00%,53.00%,46.00%,16.00%
K294,(KIL)canoe,287.70%,205.09%,230.59%,40.00%,-40.00%,192.28%,51.44%,686.20%,1139.62%,885.42%,43.00%,-49.75%,61.00%,92.00%,2054.05%,1380.00%,950.20%,136.25%,-126.25%,249.00%,162.00%,780.50%,705.00%,316.85%,33.00%,-33.50%,29.00%,29.00%,873.05%,423.20%,174.50%,24.50%,-17.00%,29.00%,22.50%,20.00%
K294,(KIL)LUSIFER,194.60%,143.59%,225.59%,40.00%,-4.00%,501.44%,27.44%,755.20%,1280.62%,1064.42%,43.00%,-54.90%,111.00%,183.00%,2164.80%,1357.50%,991.20%,138.25%,-144.75%,235.00%,139.00%,1075.00%,836.50%,432.35%,136.65%,-114.00%,131.00%,74.00%,1036.55%,535.20%,326.50%,32.50%,-13.00%,39.00%,22.50%,12.50%
K294,(KIL)Chalky,232.59%,241.59%,245.59%,37.50%,-38.25%,69.10%,60.72%,1339.20%,1511.00%,1365.63%,139.50%,-133.25%,137.00%,104.00%,1248.25%,820.00%,681.35%,29.00%,-25.00%,38.00%,36.50%,1557.10%,1258.50%,1012.00%,134.90%,-122.75%,195.00%,187.00%,875.75%,561.00%,615.50%,33.65%,-25.00%,23.50%,23.50%,16.00%
