Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
klaus,+326.85%,+203.10%,+234.10%,+43.75%,-41.50%,+579.04%,+149.36%,+830.70%,+1536.62%,+966.00%,+55.25%,-71.00%,+94.00%,+239.00%,+2395.55%,+1742.70%,+963.00%,+173.50%,-146.75%,+513.00%,+349.00%,+1223.00%,+1019.00%,+707.70%,+146.50%,-126.50%,+147.00%,+131.00%,+1268.50%,+433.50%,+948.00%,+148.50%,-126.50%,+136.00%,+72.00%,+20.00%
SkyJourney,+414.10%,+494.10%,+464.10%,+47.50%,-47.50%,+600.00%,+600.00%,+1885.70%,+2671.00%,+2330.20%,+138.50%,-232.75%,+575.00%,+700.00%,+1996.00%,+1752.00%,+1650.35%,+182.00%,-196.50%,+692.00%,+426.00%,+2548.35%,+2088.00%,+1699.00%,+172.00%,-184.50%,+692.00%,+491.00%,+1921.00%,+1445.50%,+1643.50%,+159.50%,-184.50%,+488.00%,+314.00%,+21.50%
[TFC]BreadStick ╰_╯,+336.35%,+254.10%,+309.10%,+43.75%,-40.00%,+600.00%,+304.74%,+1107.70%,+1537.62%,+829.57%,+41.00%,-61.75%,+93.00%,+327.00%,+2535.05%,+1836.70%,+1225.50%,+172.00%,-148.75%,+498.00%,+229.00%,+1684.50%,+1220.00%,+861.70%,+166.25%,-134.75%,+299.00%,+172.00%,+1400.50%,+503.50%,,,,,+20.00%,
[TFC]H3MC,+276.21%,+238.60%,+267.10%,+39.00%,-39.00%,+307.24%,+212.48%,+753.20%,+1741.04%,+1282.50%,+136.75%,-142.25%,+99.00%,+200.00%,+2233.05%,+1602.20%,+792.50%,+152.50%,-134.75%,+316.00%,+204.00%,+1040.25%,+1026.50%,+720.70%,+136.00%,-116.50%,+90.00%,+59.00%,+762.45%,+588.20%,+319.00%,+35.85%,-25.00%,+25.00%,+67.00%,+20.50%
[TFC]SIMA,+284.71%,+241.60%,+247.10%,+37.50%,-38.50%,+299.44%,+179.00%,+828.20%,+1533.62%,+1372.42%,+130.50%,-142.25%,+118.00%,+111.00%,+2203.80%,+1425.20%,+1112.70%,+133.75%,-128.75%,+387.00%,+187.00%,+955.75%,+838.00%,+471.35%,+37.15%,-29.00%,+49.00%,+40.00%,+912.80%,+604.20%,+274.00%,+33.05%,-25.00%,+25.00%,+29.00%,+26.00%
[TFC]WascallyWabbit,+274.10%,+224.10%,+243.10%,+39.00%,-40.00%,+181.88%,+176.88%,+1043.70%,+1349.62%,+1072.50%,+130.50%,-128.00%,+156.00%,+175.00%,+2020.05%,+1599.70%,+994.00%,+142.00%,-124.50%,+337.00%,+274.00%,+1156.50%,+912.50%,+586.70%,+60.30%,-46.80%,+102.00%,+118.00%,+1329.50%,+354.50%,+726.00%,+32.50%,-19.00%,+84.00%,+93.00%,+20.00%
[TFC]Slawxx,+296.10%,+280.10%,+298.60%,+41.50%,-41.50%,+274.04%,+392.44%,+582.70%,+1019.42%,+1583.62%,+128.50%,-141.75%,+136.00%,+361.00%,+1295.70%,+792.70%,+1075.20%,+142.25%,-122.50%,+227.00%,+163.00%,+2370.55%,+1868.05%,+944.00%,+147.00%,-132.50%,+313.00%,+296.00%,+923.50%,+347.50%,+868.00%,+44.30%,-25.80%,+172.00%,+101.00%,+24.00%
[TFC]Fugas0404,+306.60%,+242.10%,+282.60%,+41.50%,-41.50%,+304.20%,+243.64%,+945.70%,+1628.20%,+1591.99%,+142.75%,-142.75%,+160.00%,+420.00%,+2441.05%,+1610.00%,+1482.70%,+158.50%,-160.75%,+395.00%,+253.00%,+1453.00%,+1139.00%,+690.85%,+136.75%,-149.00%,+149.00%,+87.00%,+870.50%,+468.50%,+870.50%,+48.50%,-45.50%,+119.00%,+69.00%,+21.00%
[TFC]OG^Voyager,+323.21%,+229.60%,+250.60%,+40.00%,-40.00%,+288.12%,+274.80%,+796.70%,+1551.04%,+1080.50%,+123.00%,-134.00%,+131.00%,+142.00%,+2201.05%,+1715.70%,+1361.50%,+144.25%,-135.70%,+310.00%,+247.00%,+846.50%,+849.50%,+499.70%,+40.50%,-40.50%,+109.00%,+72.00%,+740.00%,+540.20%,+261.00%,+38.50%,-25.00%,+25.00%,+66.00%,+21.00%
[TFC]SIMA+,+310.60%,+232.10%,+262.60%,+41.50%,-41.50%,+328.56%,+264.84%,+726.20%,+1425.20%,+1425.20%,+136.50%,-154.50%,+160.00%,+304.00%,+2150.70%,+1714.70%,+1173.35%,+152.50%,-144.75%,+394.00%,+221.00%,+1557.35%,+1132.00%,+615.35%,+104.00%,-134.50%,+104.00%,+93.00%,+811.00%,+274.50%,+811.00%,+38.50%,-41.00%,+67.00%,+67.00%,+22.00%
